timestamp,metadata.data,metadata.deviceId,metadata.timestamp,_id
2025-01-01T01:34:12.602Z,1,dev_001,1735695252602,67e911865759046023c73bf8
2025-01-01T01:37:48.687Z,1,dev_001,1735695468687,67e911865759046023c73bf9
2025-01-01T01:45:58.019Z,1,dev_001,1735695958019,67e911865759046023c73bfa
2025-01-01T01:47:13.341Z,0,dev_001,1735696033341,67e911865759046023c73bfb
2025-01-01T01:56:17.341Z,1,dev_001,1735696577341,67e911865759046023c73bfc
2025-01-01T01:57:53.278Z,1,dev_001,1735696673278,67e911865759046023c73bfd
2025-01-01T02:00:24.047Z,1,dev_001,1735696824047,67e911865759046023c73bfe
2025-01-01T02:05:25.909Z,0,dev_001,1735697125909,67e911865759046023c73bff
2025-01-01T02:07:51.166Z,1,dev_001,1735697271166,67e911865759046023c73c00
2025-01-01T02:11:58.633Z,1,dev_001,1735697518633,67e911865759046023c73c01
2025-01-01T02:13:06.220Z,1,dev_001,1735697586220,67e911865759046023c73c02
2025-01-01T02:14:31.434Z,0,dev_001,1735697671434,67e911865759046023c73c03
2025-01-01T02:17:24.418Z,0,dev_001,1735697844418,67e911865759046023c73c04
2025-01-01T02:21:22.660Z,0,dev_001,1735698082660,67e911865759046023c73c05
2025-01-01T02:25:18.785Z,0,dev_001,1735698318785,67e911865759046023c73c06
2025-01-01T02:48:51.403Z,1,dev_001,1735699731403,67e911865759046023c73c07
2025-01-01T02:53:38.610Z,1,dev_001,1735700018610,67e911865759046023c73c08
2025-01-01T02:59:34.876Z,0,dev_001,1735700374876,67e911865759046023c73c09
2025-01-01T03:03:09.465Z,0,dev_001,1735700589465,67e911865759046023c73c0a
2025-01-01T03:05:46.673Z,1,dev_001,1735700746673,67e911865759046023c73c0b
2025-01-01T03:10:18.244Z,0,dev_001,1735701018244,67e911865759046023c73c0c
2025-01-01T03:14:55.144Z,0,dev_001,1735701295144,67e911865759046023c73c0d
